WBSID,Nhóm,Thể Loại,Chiểu Sâu,Phiên Bản,Outline,Sort Helper,Title (WBS),STT,Level 1,Level 2,Level 3,"STT
Hoa Nghiêm","STT
Thủ Nhãn","STT
Tứ Liên Hoa","STT
Ngũ Tự","STT
Lục Tý","STT
10 Pháp Bảo","STT
Bảo Loa","STT
6-2-6-2","STT
Advanced","STT
GALAMI1","STT
GALAMI2","STT-GALAMI
","STT
LHBDT",A.3/3/3,A.4/3/3,A.5/3/3,A.5/5/5,A.Thường Trụ Bất Biến,A.Lục Tý,A.Ending,A.LHBDT,A.6/2/6/2,Nhó,C1 Tên CTT,C5 Thủ Nhãn-Tên,C2 Tên Dài CTT,C3 Giảng Giải CTT,C4 Siddham Code,C4 Siddham Unicode,C4 CTT-Image,C5 Dharma Object Name,C6 Pháp Bảo-Image,A1 Sự,A2 Lý,A3 Khai Dẫn,A4 Hành,A4 Hành A,A4 Hành B,A5 Trung Dẫn,A6 Chú Khởi Động,A8 Lời Khẳng Định,A9 Kết Dẫn,B1 Ritual,B2 Meaning,B3 Opening Instruction,B4 Action A,B4 Action B,B6 Activator,B7 Closing Íntruction,B8 Confirmation Statement,C4 CTT Link,C4 CTT-URL,C6 Pháp Bảo Link,C6 Pháp Bảo-URL,D1 Audio Link,D2 Video Bài Giảng,D3 Bài Giảng
42.28,42,28,0,0,2,42.28.00.00,        42.28 - Tu Nguyện Thành Tựu,B162,A,A,1,E28,E28,,,,,,,E21,E28,,E28,,,,,,,,,,,28,RTHA,Khô Lâu,Sinh Tử Cảnh Giới Trí Huệ Luân,nghĩa là nhữmg phạm trù trí huệ trong cảnh giới sinh tử.,,𑖨𑖿𑖞,,Jewel Skull,,Tu Nguyện Thành Tựu,,"Khô Lâu trong lòng bàn tay Trái, tay Phải chụp lên trên",,"Di Si Di Si (5x) <br>
Om, Đu Nang, <br>
Qua Zư La Hơ (5X)","Yi Syi Yi Syi (5x) <br>
Om, Du Nang <br>
Wa Dz La He (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu Trí huệ xuyên phá Ngũ Ấm ma và Trung Ấm ma.,,,,"The Skull is in the Left palm, the Right palm covering it.",,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1Ws-P2QbYqowYoB9UV4urNqYpW749j2h6/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1Ws-P2QbYqowYoB9UV4urNqYpW749j2h6,https://drive.google.com/file/d/1jt65cyF4Og_cyRAIXHsOAvYEcI7UfWs7/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1jt65cyF4Og_cyRAIXHsOAvYEcI7UfWs7,,,
42.29,42,29,0,0,2,42.29.00.00,        42.29 - Tu Nguyện Thành Tựu,B163,A,A,1,E29,E36,,,,,,,F01,,,,,,,,,,,,,,29,BHA,Hóa Cung Điện,"Nhất Thiết Trí Cung Điện <br>
Viên Mãn Trang Nghiêm",nghĩa là những trang nghiêm viên mãn nơi cung điện Nhất Thiết Trí.,𑖥 - siddham letter bha (u+115A5) copy and paste - Unicode® symbol,𑖥,,Castle,,Tu Nguyện Thành Tựu,,,,"Pha Mô La (5x) <br>
Om, Quay Sa La, <br>
Quay Sa La,  <br>
Hum Pan Cha (5x)","Fa Mo La (5x) <br>
Om, Wei Sa La,  <br>
Wei Sa La <br>
Hum Pan Ja (5x)",,"Om, Suksma Vajra (3x)","Nguyện thể nhập vào Pháp Giới, thể nhập vào HA, Không gian sống Tam Muội và Nguyện xây trú ngụ/mái ấm cho tất cả chư Phật. (30 sec.) <br>
<br>
Nguyện thể nhập vào tất cả mạng lưới Quang Minh của tất cả chư Phật, chư Bồ Tát trong Pháp Giới .  (30 sec.)
<br>
Kiết Định Ấn, tiếp tục trì trong tâm 1 đến 2 phút.",,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1Yjn8-cV7dICY9MKLUrtNsKTkBdtaFJ2E/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1Yjn8-cV7dICY9MKLUrtNsKTkBdtaFJ2E,https://drive.google.com/file/d/1-27WhZCCexynV-fqX4zoYGhvHN7aNOMo/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1-27WhZCCexynV-fqX4zoYGhvHN7aNOMo,,,
42.30,42,30,0,0,2,42.30.00.00,        42.30 - Tu Nguyện Thành Tựu,B164,A,A,1,E30,E40,,,,,,,F10,,,,,,,,,,,,,,30,CHA,Bồ Đào,"Tu Hành Phương Tiện Tạng, <br>
Các Biệt Viên Mãn","nghĩa là khi tu hành những kho tàng phương tiện, mỗi một thứ ta đều đạt tớị viên mãn.",𑖔 - siddham letter cha (u+11594) copy and paste - Unicode® symbol,𑖔,,The Grapes,,Tu Nguyện Thành Tựu,,Cầm Bồ Đào tay phải,,"Ơ Si Tô Dê (5x) <br>
Om, Ơ Mô La, <br>
Chi-an Đi Ni Ning, <br>
Sô Pô Hô (5x)","E Shi To Ye (5x) <br>
Om, E Mo La <br>
Jian Di Ni Ning <br>
So Po He (5x)","Xin sức mạnh của Bồ Đào giúp con mang lại sự vui vẻ, sức sống và chuyển hóa  cho chúng sanh hữu hình và vô hình chung quanh con ","Om, Suksma Vajra (3x)","Nguyện tu tập để thành tựu 5 khả năng: <br>
 <br>
1. Những ai đói khát sẽ được ấm no <br>
2. Những ai nghèo khổ sẽ được sung túc <br>
3. Những ai bệnh hoạn sẽ được lành trị <br>
4. Những ai phiền não sẽ được tự tại <br>
5. Những ai chưa phát tâm sẽ được phát tâm. <br>
<br>
Nguyện thành tựu Phủ Đồng Thế Gian Tam Muội. <br>
<br>
Xin sức mạnh của Bồ Đào thủ nhãn đem lại niềm vui, sức sống và sự lành trị cho tất cả chúng sinh chung quanh con.",,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1yIhDdLeXEO9QwY70vamqFYz6DLSgs_5Z/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1yIhDdLeXEO9QwY70vamqFYz6DLSgs_5Z,https://drive.google.com/file/d/1_Y-FQM21t60Pbp6rzDFx8BsNNtqfU3ID/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1_Y-FQM21t60Pbp6rzDFx8BsNNtqfU3ID,,,
42.31,42,31,0,0,2,42.31.00.00,        42.31 - Tu Nguyện Thành Tựu,B165,A,A,1,E31,E31,,,,,,,E24,,,,,,,,,,,,,,31,SMA,Bảo Ấn,"Tùy Thập Phương, <br>
Hiện Kiến Chư Phật","nghĩa là ở bất kỳ nơi đâu trong mười phương, ngay tức khắc thấy chư Phật.",https://www.aksharamukha.com/converter,𑖭𑖿𑖦,,Jewel Seal,,Tu Nguyện Thành Tựu,,Cầm Bảo Kính tay trái để mặt có VAM hướng lên trên. Đây là Bảo Ấn. Viết chữ SMA vào Bảo Ấn.,,"Sa Pơ, Sa Pơ (5x) <br>
Om, Qua Zư La, <br>
Ning Đan Rơ Di, <br>
Sô Pô Hô (5x)","Sa Pe, Sa Pe (5x) <br>
Om, Wa Dz La <br>
Ning Dan Re Yi, <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu Bảo Ấn Nguyệt Luân tức Hải Ấn Tam Muội,,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1_jrma-al3gZem_wD4SwuaWG21Lo0RYXY/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1_jrma-al3gZem_wD4SwuaWG21Lo0RYXY,https://drive.google.com/file/d/1nf0fZjbDfmr9eDjpGi4g9gDZfw55BqFQ/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1nf0fZjbDfmr9eDjpGi4g9gDZfw55BqFQ,,,
42.32,42,32,0,0,2,42.32.00.00,        42.32 - Tu Nguyện Thành Tựu,B166,A,A,0,E32,E32,,,,,,,G02,,,,,,,,,,,,,,32,HVA,Câu Thi Thiết Câu,"Quán Sát Nhất Thiết Vô Duyên Chúng Sinh, <br>
Phương Tiện Nhiếp Thọ, Linh Xuất Sinh Vô Ngại Lực","nghĩa là quán sát tất cả chúng sinh vô duyên, từ đó dùng phương tiện để nhiếp an họ khiến sản sinh ra sức mạnh vô ngại.",https://www.aksharamukha.com/converter,𑖮𑖿𑖪,,,,Tu Nguyện Thành Tựu,,,,"Đi Li Ni (5x) <br>
Om, Ơ Gu Lu, <br>
Đô La Chê, <br>
La Quay Sha Di, <br>
Na Mô, <br>
Sô Pô Hô (5x)","Di Li Ni (5x) <br>
Om, E Gu Lu, <br>
Dwo La Jye, <br> 
La Wei Sha Yi, <br> 
Na Mwo, <br> 
So Po He (5x)",,"Om, Suksma Vajra (3x)",,,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1HXU1YvH1kA-kaVTZ3qXRBMFSDqm_veuN/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1HXU1YvH1kA-kaVTZ3qXRBMFSDqm_veuN,,,,,
42.33,42,33,0,0,2,42.33.00.00,        42.33 - Tu Nguyện Thành Tựu,B167,A,A,1,E33,E16,,,,,,,E22,E29,,E29,,,,,,,,,,,33,TSA,Giới Phủ,"Tu Hành Thú Nhập <br>
Nhất Thiết Công Đức Hải",nghĩa là tu hành tất cả biển công đức.,https://www.aksharamukha.com/converter,𑖝𑖿𑖭,,Jewel Ax,,Tu Nguyện Thành Tựu,,Cầm Giới Phủ tay trái,,"Si Lu Seng, Ơ Mi Chuê Dê (5x) <br>
Om, Quay La Dê, <br>
Quay La Dê, <br>
Sô Pô Hô (5x)","Syi Lu Seng, E Mu Chywe Ye (5x) <br>
Om, Wei La Ye, <br>
Wei La Ye <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu tất cả các pháp căn bản của Thập Địa.,,,,Holding the Axe,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/11ZOPdIQaxkEPoaX_JxgDiNa0019QNcmv/view?usp=drive_link,https://drive.google.com/uc?export=download&id=11ZOPdIQaxkEPoaX_JxgDiNa0019QNcmv,https://drive.google.com/file/d/1ueroGqkqAyeEH8JG57oC_ZM_hg2Raxr6/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1ueroGqkqAyeEH8JG57oC_ZM_hg2Raxr6,,,
42.33,42,33,0,0,2,42.33.00.00,        42.33 - Tu Nguyện Thành Tựu,B168,A,A,1,,,,,,,,,G03,,,,,,,,,,,,,,33,TSA,Giới Phủ,"Tu Hành Thú Nhập <br>
Nhất Thiết Công Đức Hải",nghĩa là tu hành tất cả biển công đức.,https://www.aksharamukha.com/converter,𑖝𑖿𑖭,,Jewel Ax,,Tu Nguyện Thành Tựu,,Cầm Giới Phủ tay trái,,"Si Lu Seng, Ơ Mi Chuê Dê (5x) <br>
Om, Quay La Dê, <br>
Quay La Dê, <br>
Sô Pô Hô (5x)","Syi Lu Seng, E Mu Chywe Ye (5x) <br>
Om, Wei La Ye, <br>
Wei La Ye <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu tất cả các pháp căn bản của Thập Địa.,,,,Holding the Axe,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/11ZOPdIQaxkEPoaX_JxgDiNa0019QNcmv/view?usp=drive_link,https://drive.google.com/uc?export=download&id=11ZOPdIQaxkEPoaX_JxgDiNa0019QNcmv,https://drive.google.com/file/d/1ueroGqkqAyeEH8JG57oC_ZM_hg2Raxr6/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1ueroGqkqAyeEH8JG57oC_ZM_hg2Raxr6,,,
42.33.4,42,33,4,0,3,42.33.04.00,            42.33.4 - Tu Liên Hoa Bồ Đề Tâm,B168,A,A,1,,,,,,,,,G03,,,,,,,,,,,,,G1,33,TSA,Giới Phủ,"Tu Hành Thú Nhập <br>
Nhất Thiết Công Đức Hải",nghĩa là tu hành tất cả biển công đức.,https://www.aksharamukha.com/converter,𑖝𑖿𑖭,,Jewel Ax,,Tu Liên Hoa Bồ Đề Tâm,,Cầm Giới Phủ tay trái,,"Si Lu Seng, Ơ Mi Chuê Dê (5x) <br>
Om, Quay La Dê, <br>
Quay La Dê, <br>
Sô Pô Hô (5x)","Syi Lu Seng, E Mu Chywe Ye (5x) <br>
Om, Wei La Ye, <br>
Wei La Ye <br>
So Po He (5x)",,"Om, Suksma Vajra (3x)",Nguyện thành tựu tất cả các pháp căn bản của Thập Địa.,,,,Holding the Axe,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/11ZOPdIQaxkEPoaX_JxgDiNa0019QNcmv/view?usp=drive_link,https://drive.google.com/uc?export=download&id=11ZOPdIQaxkEPoaX_JxgDiNa0019QNcmv,https://drive.google.com/file/d/1ueroGqkqAyeEH8JG57oC_ZM_hg2Raxr6/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1ueroGqkqAyeEH8JG57oC_ZM_hg2Raxr6,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Tu Hợp Chưởng Quang Minh GHA,A030,H,A,1,,,,,,A18,A18,,A18,,A18,,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu Hợp Chưởng Quang Minh GHA,,Hình dung chủng tử tự trong tay GHA 𑖑,,"Si Li, Si Li <br>
Om, Bô Na Man,<br>
Rơ Ling Hơ Li,<br>
Om, Quay Sa La, Quay Sa La,<br>
Hum Pan Cha (3x)","Syi Li, Syi Li<br>
Om, Bo Na Man<br>
Re Ling He Li.<br>
Om, Wei Sala Wei Sala<br>
Hum Pan Ja (3x)",,,"And I open up the true, the goodness, the beauty in my deep consciousness. May they unfold and emanate this power of truth, of beauty, and of goodness.",,,,Joined Palms,,,,,,https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Tu Hợp Chưởng Quang Minh GHA,A031,H,A,2,,,,,,A19,A19,,A19,,A19,,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu Hợp Chưởng Quang Minh GHA,,,,"Si Li, Si Li <br>
Om, Bô Na Man,<br>
Rơ Ling Hơ Li,<br>
Om, Quay Sa La, Quay Sa La,<br>
Hum Pan Cha (3x)","Syi Li, Syi Li<br>
Om, Bo Na Man<br>
Re Ling He Li.<br>
Om, Wei Sala Wei Sala<br>
Hum Pan Ja (3x)",,,"I open up the Truth, the Goodness and the Beauty in my deep consciousness. I unfold and emanate the power of the Truth, of Beauty and of Goodness.",,,,Hand Giving,,,,,,https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Tu Hợp Chưởng Quang Minh GHA,A032,H,A,3,,,,,,A20,A20,,A20,,A20,,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu Hợp Chưởng Quang Minh GHA,,,,"Si Li, Si Li <br>
Om, Bô Na Man,<br>
Rơ Ling Hơ Li,<br>
Om, Quay Sa La, Quay Sa La,<br>
Hum Pan Cha (3x)","Syi Li, Syi Li<br>
Om, Bo Na Man<br>
Re Ling He Li.<br>
Om, Wei Sala Wei Sala<br>
Hum Pan Ja (3x)","Chắp tay lại, lạy xuống.",,"May I accomplish the Dana Paramita, the practice of giving totally.
Với sức mạnh của Đại Nguyện và Đại Lực Samaya thì con chính là sự bố thí, sự cho ra.",,,,Open Hands,,,,"Close your hands, and bow down","In strength of Samaya, I am actually the generosity, I am Dana.",https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Tu Nguyện Thành Tựu,B169,A,A,1,E34,E34,,,E01,,,,E27,E31,,E31,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu Nguyện Thành Tựu,"Tay Cho Ra, Mắt Tri Ân",Tay Hợp Chưởng,,"Si Li, Si Li (5x) <br>
Om, Bô Na Man, <br>
Rơ Ling Hơ Li, <br>
Om, Quay Sa La, Quay Sa La, <br>
Hum Pan Cha (5x)","Syi Li, Syi Li (5x) <br>
Om, Bo Na Man <br>
Re Ling He Li. <br>
Om, Wei Sala Wei Sala <br>
Hum Pan Ja (5x)",,,Tôi khai mở và cho ra.  Tôi khai mở tự tánh quang minh.,,,"Hand Giving, Eyes of Gratitube",Joined Palms,,,,,"I am open, and I give.  I open up the ever-present light.",https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Tu bản thể Pháp Bảo,B170,A,A,2,,,,,E02,,,,E28,E32,,E32,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu bản thể Pháp Bảo,,Tay Cho Ra,,"Si Li, Si Li (5x) <br>
Om, Bô Na Man, <br>
Rơ Ling Hơ Li, <br>
Om, Quay Sa La, Quay Sa La, <br>
Hum Pan Cha (5x)","Syi Li, Syi Li (5x) <br>
Om, Bo Na Man <br>
Re Ling He Li. <br>
Om, Wei Sala Wei Sala <br>
Hum Pan Ja (5x)",,,"Tôi khai mở Chân, Thiện, Mỹ trong tạng thức.",,,,Hand Giving,,,,,"I open up Truth, Goodness and Beauty in my deep consciousness.",https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Tu tác dụng của Pháp Bảo,B171,A,A,3,,,,,E03,,,,E29,E33,,E33,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu tác dụng của Pháp Bảo,,Tay Mở Rộng,,"Si Li, Si Li (5x) <br>
Om, Bô Na Man, <br>
Rơ Ling Hơ Li, <br>
Om, Quay Sa La, Quay Sa La, <br>
Hum Pan Cha (5x)","Syi Li, Syi Li (5x) <br>
Om, Bo Na Man <br>
Re Ling He Li. <br>
Om, Wei Sala Wei Sala <br>
Hum Pan Ja (5x)",,,Tôi thành tựu Bố Thí Ba La Mật.,,,,Open Hands,,,,,I accomplish the Giving Paramita.,https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34,42,34,0,0,2,42.34.00.00,        42.34 - Chuyển Hóa,B172,A,A,4,,,,,,,,,,,,,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Chuyển Hóa,,Tay Hợp Chưởng,,"Si Li, Si Li (5x) <br>
Om, Bô Na Man, <br>
Rơ Ling Hơ Li, <br>
Om, Quay Sa La, Quay Sa La, <br>
Hum Pan Cha (5x)","Syi Li, Syi Li (5x) <br>
Om, Bo Na Man <br>
Re Ling He Li. <br>
Om, Wei Sala Wei Sala <br>
Hum Pan Ja (5x)",,,Nguyện thành tự thủ xuất quảng cúng tam muội,,,,Joined Palms,,,,,,https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.34.4,42,34,4,0,3,42.34.04.00,            42.34.4 - Tu Liên Hoa Bồ Đề Tâm,A063,L,A,23,,,,,,,,,X23,,,,,,,,,,,,,,34,GHA,Hợp Chưởng,"Trì Nhất Thiết Pháp Vân, <br>
Kiên Cố Hải Tạng",nghĩa là trì giữ mây pháp (chân lý tối thượng) kiên cố như biển rộng (công đức).,𑖑 - siddham letter gha (u+11591) copy and paste - Unicode® symbol,𑖑,,Joined-Palms,,Tu Liên Hoa Bồ Đề Tâm,,,,"Si Li, Si Li<br>
Om, Bô Na Man, <br>
Rơ Ling Hơ Li, <br>
Om, Quay Sa La, Quay Sa La, <br>
Hum Pan Cha","Syi Li, Syi Li
Om, Bo Na Man
Re Ling He Li.
Om, Wei Sala Wei Sala
Hum Pan Ja",,,,,,,,,,,,,https://drive.google.com/file/d/1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1iZ6S6cVtoTzY99x9JYVNrSMDGm2D1GIC,https://drive.google.com/file/d/1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1u2gJ4VXSyuMW8V-izwZPReOI2wH5amvu,,,
42.35,42,35,0,0,2,42.35.00.00,        42.35 - Tu Nguyện Thành Tựu,B173,A,A,1,E35,E35,,,,,,,,,,,,,,,,,,,,,35,ṬHA (TTHA),Thủ Thượng Hóa Phật,"Tùy Nguyện Phổ Kiến <br>
Thập Phương Chư Phật","nghĩa là tùy nguyện, thấy khắp hết thảy chư Phật ở mười phương.",𑖙 - siddham letter ttha (u+11599) copy and paste - Unicode® symbol,𑖙,,Transformation Buddha Kwan Yin,,Tu Nguyện Thành Tựu,,,,"Ơ La Shen (5x) <br>
Om, Chan Nô La, <br>
Pơ Han Cha Li, Cha Li Nô, <br>
Chi Li Nô, Chi Li Ni, <br>
Hum Pan Cha (5x)","E La Shen (5x) <br>
Om, Jan No La, <br>
Pe Han Ja Li, Jya Li No, <br>
Chi Li No, Chi Li Ni <br>
Hum Pan Ja (5x)",,"Om, Suksma Vajra (3x)",Tôi là Hóa Phật Quan Âm với Thiên Thủ Thiên Nhãn,,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1OB_fYgTtNyFuALIDF6tjLm39u4xyUVn9/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1OB_fYgTtNyFuALIDF6tjLm39u4xyUVn9,https://drive.google.com/file/d/10GcXK27WtkrFreeXMguTNhWoDP2LtPk-/view?usp=drive_link,https://drive.google.com/uc?export=download&id=10GcXK27WtkrFreeXMguTNhWoDP2LtPk-,,,
42.35,42,35,0,0,2,42.35.00.00,        42.35 - Tu bản thể Pháp Bảo,B174,A,A,2,,,,,,,,,,,,,,,,,,,,,,,35,ṬHA (TTHA),Thủ Thượng Hóa Phật,"Tùy Nguyện Phổ Kiến <br>
Thập Phương Chư Phật","nghĩa là tùy nguyện, thấy khắp hết thảy chư Phật ở mười phương.",𑖙 - siddham letter ttha (u+11599) copy and paste - Unicode® symbol,𑖙,,Transformation Buddha Kwan Yin,,Tu bản thể Pháp Bảo,,"Hình dung mình trong hình dạng Đức Phật có 1000 tay, 100 mắt.",,"Ơ La Shen (5x) <br>
Om, Chan Nô La, <br>
Pơ Han Cha Li, Cha Li Nô, <br>
Chi Li Nô, Chi Li Ni, <br>
Hum Pan Cha (5x)","E La Shen (5x) <br>
Om, Jan No La, <br>
Pe Han Ja Li, Jya Li No, <br>
Chi Li No, Chi Li Ni <br>
Hum Pan Ja (5x)",,"Om, Suksma Vajra (3x)",Tôi là Hóa Phật Thiên Thủ Thiên Nhãn Quan Âm.,,,,,,,"Om, Suksma Vajra (3x)",,,https://drive.google.com/file/d/1OB_fYgTtNyFuALIDF6tjLm39u4xyUVn9/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1OB_fYgTtNyFuALIDF6tjLm39u4xyUVn9,https://drive.google.com/file/d/10GcXK27WtkrFreeXMguTNhWoDP2LtPk-/view?usp=drive_link,https://drive.google.com/uc?export=download&id=10GcXK27WtkrFreeXMguTNhWoDP2LtPk-,,,
